19661201,246,3
19661208,237,5
19661215,245,5
19661222,237,5
19661229,223,5
19670105,276,1
19670112,250,6
19670119,253,6
19670126,237,6
19670202,226,5
19670209,207,6
19670216,200,6
19670223,204,3
19670302,193,6
19670309,196,5
19670316,213,4
19670323,215,5
19670330,234,3
19670406,214,6
19670413,208,5
19670420,219,4
19670427,222,4
19670504,225,4
19670511,220,6
19670518,223,5
19670525,228,4
19670601,237,4
19670608,236,5
19670615,224,8
19670622,238,3
19670629,262,2
19670706,232,7
19670713,264,3
19670720,279,3
19670727,277,5
19670803,273,4
19670810,247,6
19670817,253,5
19670824,220,7
19670831,246,3
19670907,236,5
19670914,294,2
19670921,280,5
19670928,312,3
19671005,306,5
19671012,305,4
19671019,338,2
19671026,325,4
19671102,276,5
19671109,305,4
19671116,315,4
19671123,275,7
19671130,281,3
19671207,302,3
19671214,282,8
19671221,322,2
19671228,353,1
19680104,328,5
19680111,325,3
19680118,261,6
19680125,313,3
19680201,268,6
19680208,260,5
19680215,249,4
19680222,217,6
19680229,220,4
19680307,226,4
19680314,211,7
19680321,229,4
19680328,236,4
19680404,213,8
19680411,215,5
19680418,221,4
19680425,209,6
19680502,208,4
19680509,240,2
19680516,238,5
19680523,247,4
19680530,247,5
19680606,234,5
19680613,252,4
19680620,258,4
19680627,257,7
19680704,251,3
19680711,223,7
19680718,230,5
19680725,239,3
19680801,219,5
19680808,235,5
19680815,223,4
19680822,237,4
19680829,248,4
19680905,261,3
19680912,253,3
19680919,248,6
19680926,274,3
19681003,258,5
19681010,272,5
19681017,271,2
19681024,237,6
19681031,235,5
19681107,241,3
19681114,242,4
19681121,259,3
19681128,241,6
19681205,228,6
19681212,267,4
19681219,228,5
19681226,278,1
19690102,300,2
19690109,262,6
19690116,270,3
19690123,271,5
19690130,269,4
19690206,235,7
19690213,253,7
19690220,215,6
19690227,213,6
19690306,235,4
19690313,218,6
19690320,229,6
19690327,239,4
19690403,255,5
19690410,271,2
19690417,238,6
19690424,239,5
19690501,252,4
19690508,245,6
19690515,238,6
19690522,218,5
19690529,249,2
19690605,251,3
19690612,234,6
19690619,235,5
